"Store,Dept,lag_1_start,lag_2_start"
"1,1,27390.81,24185.27"
"1,2,43134.88,42354.72"
"1,3,9350.9,8548.87"
"1,4,36292.6,35549.19"
"1,5,25846.94,20413.83"
"1,6,4032.5,3496.69"
"1,7,21449.85,21937.45"
"1,8,39255.35,38668.75"
"1,9,41040.84,36690.81"
"1,10,26285.27,29442.38"
"1,11,22399.83,18259.82"
"1,12,8658.41,10830.48"
"1,13,38512.48,38341.15"
"1,14,11150.0,12035.51"
"1,16,9934.63,9518.43"
"1,17,7640.92,7640.43"
"1,18,17934.28,10569.09"
"1,19,1640.81,1247.56"
"1,20,2680.53,3640.07"
"1,21,8194.63,7614.71"
"1,22,8236.88,8236.39"
"1,23,21460.58,17191.96"
"1,24,7106.74,5355.52"
"1,25,11066.13,8702.47"
"1,26,7412.16,7004.13"
"1,27,1712.02,1841.73"
"1,28,742.48,656.45"
"1,29,4077.2,3739.1"
"1,30,2830.48,2559.08"
"1,31,1413.51,1529.52"
"1,32,5918.47,6241.78"
"1,33,6313.48,5170.49"
"1,34,9972.0,9544.78"
"1,35,1459.47,1555.93"
"1,36,1156.34,536.75"
"1,37,2566.42,2483.49"
"1,38,66526.76,68794.43"
"1,40,59287.86,56386.37"
"1,41,1784.96,1201.83"
"1,42,6786.97,7586.22"
"1,44,6593.58,6357.29"
"1,45,20.94,10.47"
"1,46,17950.88,16784.5"
"1,47,224.0,68.0"
"1,48,3341.0,784.0"
"1,49,8775.52,11082.52"
"1,51,3.0,11.12"
"1,52,2530.51,1634.61"
"1,54,4.88,28.92"
"1,55,10200.84,9438.28"
"1,56,882.69,1328.43"
"1,58,5295.0,6800.0"
"1,59,208.89,183.24"
"1,60,918.0,999.0"
"1,67,7319.25,6429.74"
"1,71,1370.83,2263.79"
"1,72,35282.73,36267.08"
"1,74,7986.96,9700.45"
"1,77,396.0,204.0"
"1,78,10.0,12.0"
"1,79,29294.29,27982.85"
"1,80,17918.31,19217.27"
"1,81,29107.55,29992.45"
"1,82,19702.26,20132.76"
"1,83,4912.05,5854.41"
"1,85,3818.23,2945.08"
"1,87,51212.09,48093.57"
"1,90,84064.59,88474.51"
"1,91,55472.46,64022.49"
"1,92,132155.74,146387.59"
"1,93,66622.89,75214.29"
"1,94,60278.73,62767.87"
"1,95,117375.38,123346.24"
"1,96,36851.92,37113.21"
"1,97,32830.52,36028.46"
"1,98,12702.86,13110.24"
"1,99,80.0,635.0"
"2,1,41615.24,35897.95"
"2,2,62475.44,64137.69"
"2,3,10731.67,11239.25"
"2,4,46098.84,43727.01"
"2,5,30891.9,27097.6"
"2,6,5253.54,6601.5"
"2,7,37302.54,37468.15"
"2,8,63992.36,60502.97"
"2,9,34790.0,36812.56"
"2,10,34260.76,35721.09"
"2,11,21167.76,18513.04"
"2,12,8060.19,8206.99"
"2,13,47892.06,45272.78"
"2,14,18348.17,19174.57"
"2,16,7487.94,7769.29"
"2,17,12016.19,12404.85"
"2,18,26085.43,20327.21"
"2,19,4315.0,3290.89"
"2,20,3690.65,4463.78"
"2,21,7985.45,7988.96"
"2,22,13208.75,11371.19"
"2,23,26574.0,21873.41"
"2,24,7820.52,6937.84"
"2,25,12962.63,13573.3"
"2,26,9258.88,8022.05"
"2,27,2105.89,2090.89"
"2,28,1025.47,783.49"
"2,29,5563.13,6239.78"
"2,30,3869.88,4043.06"
"2,31,3263.14,3267.08"
"2,32,7406.89,10171.03"
"2,33,6969.78,5564.91"
"2,34,16047.51,14841.75"
"2,35,2671.37,2383.29"
"2,36,1033.32,867.88"
"2,37,3999.22,4460.76"
"2,38,70757.72,68932.17"
"2,39,0.78,0.78"
"2,40,77608.73,76958.58"
"2,41,1934.51,2977.8"
"2,42,8658.25,8549.4"
"2,44,11080.74,10959.31"
"2,45,10.47,20.94"
"2,46,26984.28,26336.61"
"2,47,156.0,-28.0"
"2,48,1420.0,5209.0"
"2,49,12565.94,15556.56"
"2,51,2.76,2.76"
"2,52,3589.04,3882.81"
"2,54,23.92,44.8"
"2,55,11189.37,10137.51"
"2,56,707.65,1489.24"
"2,58,25000.0,21485.0"
"2,59,287.25,290.91"
"2,60,261.0,396.0"
"2,67,10224.32,10946.18"
"2,71,3588.43,5319.04"
"2,72,48941.21,52176.54"
"2,74,14547.62,15467.96"
"2,77,204.0,1431.0"
"2,78,6.0,7.0"
"2,79,28451.69,27411.78"
"2,80,25410.09,27033.19"
"2,81,29040.96,29464.36"
"2,82,24997.37,24597.78"
"2,83,4489.72,5900.1"
"2,85,3298.84,2809.45"
"2,87,21623.54,21313.26"
"2,90,100544.64,102550.04"
"2,91,75329.8,80550.34"
"2,92,169784.13,175971.97"
"2,93,71383.59,75948.41"
"2,94,71138.52,73438.58"
"2,95,138018.99,146283.06"
"2,96,38391.46,38363.7"
"2,97,40710.09,41532.03"
"2,98,14233.43,14597.1"
"2,99,50.0,595.0"
"3,1,11351.24,10886.48"
"3,2,18894.7,19849.1"
"3,3,4730.72,5005.44"
"3,4,8459.82,9454.2"
"3,5,15307.6,14397.08"
"3,6,1435.94,1845.04"
"3,7,7749.8,10888.71"
"3,8,8495.07,8441.96"
"3,9,9582.02,10170.35"
"3,10,14112.99,12796.64"
"3,11,9291.66,12270.31"
"3,12,2648.01,2313.96"
"3,13,11696.34,13327.54"
"3,14,4716.3,5746.54"
"3,16,3285.67,4158.08"
"3,17,2634.51,3584.41"
"3,18,5104.31,3869.98"
"3,19,738.87,603.89"
"3,20,1601.47,2208.12"
"3,21,1223.23,1519.04"
"3,22,4748.81,4792.74"
"3,23,17384.54,12463.28"
"3,24,3281.16,2805.93"
"3,25,5134.03,4684.37"
"3,26,3295.95,3096.51"
"3,27,351.49,431.19"
"3,28,151.69,164.42"
"3,29,1423.02,1150.38"
"3,30,1104.44,1272.44"
"3,31,882.66,773.48"
"3,32,3405.21,5451.01"
"3,33,3236.91,3207.31"
"3,34,4667.42,3877.05"
"3,35,559.07,650.11"
"3,36,650.24,177.53"
"3,38,83489.04,91827.97"
"3,40,20235.51,20466.79"
"3,41,658.2,707.99"
"3,42,5582.25,3522.06"
"3,44,2981.53,2949.78"
"3,45,4.0,14.97"
"3,46,6332.3,5987.13"
"3,47,72.0,-78.0"
"3,49,11.88,8.91"
"3,51,16.2,1.86"
"3,52,1245.77,1257.25"
"3,54,23.92,5.88"
"3,55,6525.8,6086.5"
"3,56,312.62,547.24"
"3,59,20.0,-7.48"
"3,60,126.0,90.0"
"3,67,2053.75,2554.46"
"3,71,1107.68,728.34"
"3,72,23994.26,30939.46"
"3,74,3370.19,3816.39"
"3,77,1272.0,9.96"
"3,78,6.0,0.0"
"3,79,7512.73,8231.44"
"3,80,0.97,12.0"
"3,81,1863.23,1786.9"
"3,82,8566.11,8276.6"
"3,83,19.33,0.0"
"3,85,345.44,481.05"
"3,87,900.85,1893.8"
"3,90,1868.32,1702.9"
"3,91,376.04,392.84"
"3,92,9835.2,10108.11"
"3,94,313.78,15.52"
"3,95,17210.73,16784.09"
"3,96,4654.4,4557.65"
"3,97,578.26,458.89"
"3,98,21.5,9.0"
"4,1,57046.29,49604.49"
"4,2,93534.21,94432.15"
"4,3,12439.1,13028.48"
"4,4,57973.13,58016.81"
"4,5,46483.6,41777.74"
"4,6,6946.58,7694.9"
"4,7,47321.62,50064.05"
"4,8,60917.72,60359.28"
"4,9,37348.62,30920.08"
"4,10,37702.39,35931.08"
"4,11,21888.0,19031.98"
"4,12,8596.08,6790.82"
"4,13,72740.81,74635.37"
"4,14,28140.66,26723.81"
"4,16,6417.47,5880.13"
"4,17,15785.97,14353.29"
"4,18,38632.24,28745.85"
"4,19,3158.32,2589.91"
"4,20,7867.74,8467.31"
"4,21,7540.82,7763.21"
"4,22,18871.34,19551.47"
"4,23,53980.64,38198.94"
"4,24,12399.01,10446.02"
"4,25,15215.65,16396.28"
"4,26,24575.8,22701.86"
"4,27,3477.66,2606.63"
"4,28,1393.97,802.33"
"4,29,10045.1,9220.2"
"4,30,6384.78,5888.82"
"4,31,3792.3,2700.66"
"4,32,10943.59,10391.78"
"4,33,13781.67,11620.06"
"4,34,29227.24,23084.78"
"4,35,3804.5,2657.77"
"4,36,3298.92,2201.75"
"4,37,3220.47,3770.6"
"4,38,78355.42,67825.56"
"4,39,1.56,0.0"
"4,40,82878.16,79449.38"
"4,41,1709.26,1760.16"
"4,42,10437.18,10675.14"
"4,44,7605.63,6997.43"
"4,45,10.47,10.47"
"4,46,33199.8,33173.83"
"4,47,-298.0,-88.0"
"4,48,3740.0,1862.0"
"4,49,6369.4,8005.57"
"4,51,3.96,15.84"
"4,52,3970.26,2722.22"
"4,54,20.52,23.92"
"4,55,15844.67,12968.58"
"4,56,567.52,1136.43"
"4,58,5915.0,1820.0"
"4,59,399.8,365.71"
"4,60,414.0,279.0"
"4,67,10897.73,12737.25"
"4,71,6045.67,5403.21"
"4,72,90201.62,91918.26"
"4,74,17083.48,16279.61"
"4,77,350.0,175.0"
"4,78,12.0,24.0"
"4,79,55143.62,54362.55"
"4,80,18631.04,19708.86"
"4,81,32237.17,34010.96"
"4,82,31562.47,30356.83"
"4,83,8801.25,10139.15"
"4,85,1762.15,2240.94"
"4,87,16521.28,14646.38"
"4,90,94014.08,98779.24"
"4,91,64274.43,67800.65"
"4,92,164891.82,177406.75"
"4,93,72324.59,76919.09"
"4,94,76523.09,76081.44"
"4,95,145803.47,154909.22"
"4,96,48394.57,45330.86"
"4,97,40973.69,42478.7"
"4,98,19176.14,17641.28"
"4,99,260.0,490.0"
"5,1,12774.47,11093.36"
"5,2,11523.89,11869.45"
"5,3,3459.89,3312.98"
"5,4,10036.57,9588.55"
"5,5,6342.69,6889.3"
"5,6,685.48,610.14"
"5,7,5418.2,6459.15"
"5,8,14511.19,15361.2"
"5,9,8775.95,8774.46"
"5,10,8693.19,9308.13"
"5,11,6741.12,6009.48"
"5,12,3260.71,2396.43"
"5,13,11306.03,10642.62"
"5,14,3111.77,3258.89"
"5,16,4832.89,4371.38"
"5,17,2207.36,3078.6"
"5,18,3362.24,2018.64"
"5,19,32.88,16.44"
"5,20,789.34,919.3"
"5,21,1398.88,927.93"
"5,22,2591.63,2908.78"
"5,23,6042.15,4912.79"
"5,24,1493.12,1188.42"
"5,25,2483.26,2518.65"
"5,26,1397.08,1874.24"
"5,27,445.62,504.06"
"5,28,245.31,202.59"
"5,29,1029.9,988.28"
"5,30,696.16,739.98"
"5,31,652.22,497.72"
"5,32,1853.03,2621.79"
"5,33,1423.47,1432.39"
"5,34,3200.56,2701.22"
"5,35,248.91,578.74"
"5,36,370.04,130.74"
"5,38,56913.22,55725.8"
"5,40,19823.71,19942.6"
"5,41,1417.52,1248.23"
"5,42,3132.88,2592.33"
"5,44,1512.75,1703.25"
"5,45,95.76,23.94"
"5,46,4210.79,3954.89"
"5,47,204.5,224.0"
"5,49,24.0,21.97"
"5,51,5.56,4.16"
"5,52,420.42,419.99"
"5,54,5.88,28.92"
"5,55,3448.15,3206.19"
"5,56,502.09,1052.96"
"5,58,3370.0,615.0"
"5,59,7.98,5.27"
"5,60,189.0,270.0"
"5,67,2893.37,3059.22"
"5,71,478.8,252.25"
"5,72,9271.21,10921.28"
"5,74,2850.52,2735.48"
"5,77,-23.85,954.0"
"5,78,6.0,0.0"
"5,79,4824.24,4970.06"
"5,80,1.0,1.0"
"5,81,2771.12,2840.61"
"5,82,4288.31,3715.25"
"5,85,626.58,678.85"
"5,87,9987.23,10916.11"
"5,90,3309.21,3244.46"
"5,91,1422.07,1375.17"
"5,92,9243.53,9368.08"
"5,94,310.04,19.4"
"5,95,19630.59,19413.22"
"5,96,8704.87,7775.71"
"5,97,561.35,622.36"
"5,98,22.0,10.0"
"6,1,30579.35,27700.81"
"6,2,46877.87,47320.06"
"6,3,11131.34,11695.54"
"6,4,31369.59,32662.08"
"6,5,29279.52,28362.98"
"6,6,3638.53,5440.62"
"6,7,22943.1,22424.69"
"6,8,48648.83,47558.06"
"6,9,46317.01,47228.84"
"6,10,43664.52,46178.9"
"6,11,18004.17,16030.86"
"6,12,5346.99,6175.28"
"6,13,35443.94,36813.73"
"6,14,22617.71,20929.45"
"6,16,8816.87,10079.51"
"6,17,12422.69,13980.31"
"6,18,27810.08,22607.26"
"6,19,2700.71,3308.11"
"6,20,6197.34,7419.55"
"6,21,7320.9,7224.02"
"6,22,16646.6,16188.59"
"6,23,28093.3,25334.91"
"6,24,5679.56,4682.22"
